run,type,module,name,attrname,attrvalue,value
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.veinsManager.launchConfig,"xmldoc(""heterogeneous.launchd.xml"")",
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.veinsManager.updateInterval,0.1s,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.numBands,25,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.ueTxPower,26,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.eNodeBTxPower,46,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].cellularNic.nrPhy.dynamicCellAssociation,true,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].masterId,0,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].macCellId,0,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].nrMasterId,1,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].nrMacCellId,1,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.gNodeB1.macCellId,1,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.gNodeB1.macNodeId,1,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.gNodeB2.macCellId,2,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.gNodeB2.macNodeId,2,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].cellularNic.nrPhy.enableHandover,true,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB*.cellularNic.phy.enableHandover,true,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB*.cellularNic.phy.handoverLatency,50ms,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB*.cellInfo.broadcastMessageInterval,1s,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB*.numX2Apps,1,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB*.x2App[*].server.localPort,5000 + ancestorIndex(1),
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB1.x2App[0].client.connectAddress,"""gNodeB2%x2ppp0""",
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.gNodeB2.x2App[0].client.connectAddress,"""gNodeB1%x2ppp0""",
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.sctp.nagleEnabled,false,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.sctp.enableHeartbeats,false,
VoIP-UL-0-20250917-22:24:49-144340,scalar,Highway.car[1].udp,packetReceived:sum(packetBytes),,,0
VoIP-UL-0-20250917-22:24:49-144340,attr,Highway.car[1].udp,packetReceived:sum(packetBytes),interpolationmode,none,
VoIP-UL-0-20250917-22:24:49-144340,attr,Highway.car[1].udp,packetReceived:sum(packetBytes),source,packetReceived,
VoIP-UL-0-20250917-22:24:49-144340,attr,Highway.car[1].udp,packetReceived:sum(packetBytes),title,"packets received, sum(packetBytes)",
